kategori,kode_cpl,kkni_level,kkni_no,text_clean
cpl,CPL-TIF-01,6,4,memiliki kepribadian yang beriman dan bertaqwa kepada tuhan yme berbudi pekerti luhur mempunyai tanggung jawab kemasyarakatan dan kebangsaan menjunjung tinggi norma dan etika yang berlaku di masyarakat serta mempunyai jiwa kewirausahaan yang kuat b
cpl,CPL-TIF-02,6,1,mampu bersaing di pasar global dengan pengetahuan dan kemampuan yang memadai terkait penerapan teknik informatikateknologi informasi dalam organisasi c
cpl,CPL-TIF-03,6,2,memiliki pengetahuan yang memadai terkait dengan cara membangun teknik informatika berdasarkan metodologi yang teruji dan diterapkan secara internasional d
cpl,CPL-TIF-04,6,2,mampu meningkatkan pengetahuan dan kemampuan terkait pemanfaatan database dalam mendukung perkembangan teknologi informasi e
cpl,CPL-TIF-05,6,3,mempunyai kemampuan komunikasi dalam mendefinisikan kebutuhan organisasi akan teknik informatika secara detail dan menyeluruh f
cpl,CPL-TIF-06,6,4,mampu membuat desain secara holistik sebuah model dan arsitektur teknik informatika yang mendukung organisasi dan bisnisnya dengan menggunakan standar internasional g
cpl,CPL-TIF-07,6,1,memiliki keahlian bidang bisnis dan teknologi baik secara konseptual maupun praktikal dan mampu melanjutkan studi di bidang teknik informatika dan teknologi informasi 2
cpl,CPL-TIF-08,6,1,mampu mengembangkan kepribadian yang berkualitas berintegritas dan bersemangat kemandirian yang inovatifkreatif didukung penguasaan teknologi teknik informatika yang baik secara konseptual maupun praktikal b
cpl,CPL-TIF-09,6,4,mampu berkontribusi dalam meningkatkan pemberdayaan masyarakat berbasis pengetahuan di bidang teknik informatika melalui penerapan keilmuan pemenuhan prinsipprinsip etika dan pengembagan ilmu pengetahuan dan teknologi informasi penelitian untuk menjawab kebutuhan masyarakat dalam mengatasi permasalahannya 3
cpl,CPL-TIF-10,6,3,mampu meningkatkan kemampuan komunikasi efektif secara lisan dan tertulis dalam memberikan kontribusi manfaat yang positif bagi organisasi dengan memahami ketentuan hukum yang berlaku serta tatanannorma dalam masyarakat b
cpl,CPL-TIF-11,6,4,mampu memberikan wawasan keilmuan dan keunggulan dalam bidang teknik informatika untuk berkarya melalui pengalaman kerja serta meningkatkan sikap dan mental kewirausahaan secara profesional
