CPL,kode_cpl,Skill Category,Matched Count,top_k_average_similarity,best_similarity,Alignment Status,Matched Industry Competencies,Matched Similarity Scores,matched_domain_ids
memiliki kepribadian yang beriman dan bertaqwa kepada tuhan yme berbudi pekerti luhur mempunyai tanggung jawab kemasyarakatan dan kebangsaan menjunjung tinggi norma dan etika yang berlaku di masyarakat serta mempunyai jiwa kewirausahaan yang kuat b,CPL-TIF-01,Soft,5,0.5712,0.6228,Not Aligned,"having high integrity and good personal | has a growth mindset and good ownership | memiliki jiwa kepemimpinan dan pelayanan (customer service orientation) | teliti, mandiri, dan bertanggung jawab | have honest attitude, conscientious and responsible.",0.6228 | 0.5633 | 0.5612 | 0.5597 | 0.5493,117 | 174 | 167 | 106 | 106
mampu bersaing di pasar global dengan pengetahuan dan kemampuan yang memadai terkait penerapan teknik informatikateknologi informasi dalam organisasi c,CPL-TIF-02,Hard,5,0.6432,0.6605,Aligned,"information technology | berkoordinasi dengan vendor dan pihak terkait untuk mengoptimalkan penggunaan teknologi informasi. | knowledge big data / data warehouse | maintain a competitive market knowledge | this role combines data-driven business analysis, market and competitive research, and executive-level coordination to enhance strategic decision-making and operational effectiveness.",0.6605 | 0.6462 | 0.6371 | 0.6363 | 0.636,175 | 176 | 111 | 176 | 170
memiliki pengetahuan yang memadai terkait dengan cara membangun teknik informatika berdasarkan metodologi yang teruji dan diterapkan secara internasional d,CPL-TIF-03,Hard,5,0.6482,0.6797,Aligned,"having adequate knowledgeable in hardware, raid technology, virtualization , hci, | memiliki pengetahuan yang kuat tentang metode pembelajaran dan pengembangan yang efektif | have a strong technical foundation, with a solid understanding of data, platforms, and modern technologies. | strong knowledge of various technologies, platforms, and architectural patterns | memiliki pengetahuan yang baik mengenai alat etl seperti informatica, talend, pentaho, dan lainnya.",0.6797 | 0.6514 | 0.6486 | 0.6313 | 0.6301,164 | 176 | 86 | 98 | 68
mampu meningkatkan pengetahuan dan kemampuan terkait pemanfaatan database dalam mendukung perkembangan teknologi informasi e,CPL-TIF-04,Hard,5,0.7646,0.7858,Aligned,memiliki pengetahuan terkait high availability database design | knowledge of database concept and query is essential | good knowledge in database concept | strong knowledge of database design | memiliki pengetahuan di dalam database programming.,0.7858 | 0.7685 | 0.7649 | 0.7607 | 0.7433,110 | 110 | 110 | 110 | 110
mempunyai kemampuan komunikasi dalam mendefinisikan kebutuhan organisasi akan teknik informatika secara detail dan menyeluruh f,CPL-TIF-05,Hard,5,0.7506,0.7615,Aligned,"strong communication skills, capable of simplifying complex technical concepts for non-technical stakeholders and effectively bridging the gap between technical and product teams. | possess strong communication skills, with the ability to clearly convey technical information to both technical and non-technical stakeholders. | strong communication skills and ability to explain technical concepts to non-technical stakeholders. | excellent communication skills to present technical insights to both technical and non-technical stakeholders. | excellent communication skills, able to explain technical details clearly to non-technical stakeholders.",0.7615 | 0.7564 | 0.7459 | 0.7446 | 0.7446,106 | 106 | 106 | 106 | 106
mampu membuat desain secara holistik sebuah model dan arsitektur teknik informatika yang mendukung organisasi dan bisnisnya dengan menggunakan standar internasional g,CPL-TIF-06,Hard,5,0.6774,0.6928,Aligned,"desain arsitektur: | strong understanding of software design patterns and architectural principles. | architectural designer | understanding sdlc , solution application architect, it enterprise architecture | adopting new technologies and designing and maintaining it architectures that are strategic",0.6928 | 0.6846 | 0.677 | 0.6731 | 0.6597,98 | 163 | 182 | 162 | 144
memiliki keahlian bidang bisnis dan teknologi baik secara konseptual maupun praktikal dan mampu melanjutkan studi di bidang teknik informatika dan teknologi informasi 2,CPL-TIF-07,Hard,5,0.7043,0.7356,Aligned,"provide technical expertise in | keahlian teknis | majoring in information systems, informatics engineering, or a related field. | master software business process and has several industrial skill/ knowledge | excellent communication skills to bridge technology, operations, and business stakeholders.",0.7356 | 0.7079 | 0.7014 | 0.6968 | 0.6796,106 | 106 | 106 | 127 | 106
mampu mengembangkan kepribadian yang berkualitas berintegritas dan bersemangat kemandirian yang inovatifkreatif didukung penguasaan teknologi teknik informatika yang baik secara konseptual maupun praktikal b,CPL-TIF-08,Hard,5,0.6721,0.6926,Aligned,"good analytical skills and passionate to learn new technology | to succeed in this role, you'll bring strong technical skills, a problem-solving mindset, and a passion for building great software: | willingness to learn and develop technical skills | high adaptability and willingness to learn new technologies | enthusiastic about building a career in it and growing in a dynamic, tech-driven environment and willing to learn and adapt to evolving it systems and technologies.",0.6926 | 0.6729 | 0.6677 | 0.6651 | 0.6621,82 | 106 | 106 | 106 | 106
mampu berkontribusi dalam meningkatkan pemberdayaan masyarakat berbasis pengetahuan di bidang teknik informatika melalui penerapan keilmuan pemenuhan prinsipprinsip etika dan pengembagan ilmu pengetahuan dan teknologi informasi penelitian untuk menjawab kebutuhan masyarakat dalam mengatasi permasalahannya 3,CPL-TIF-09,Hard,5,0.6149,0.6344,Aligned,"understanding and applying knowledge in data science and software engineering to create effective ai applications. | seeking out information to learn about emerging methodologies and technologies | strong sense of curiosity, initiative, and willingness to explore improvement ideas using data. | research rigor & ethics: demonstrated expertise in designing and managing research projects (quantitative, qualitative, epidemiological, or clinical studies) with methodological rigor and full ethical compliance. | knowledge of ai, data analytic/science, data transformation, data security is a plus",0.6344 | 0.6187 | 0.6097 | 0.6068 | 0.6047,112 | 176 | 64 | 54 | 100
mampu meningkatkan kemampuan komunikasi efektif secara lisan dan tertulis dalam memberikan kontribusi manfaat yang positif bagi organisasi dengan memahami ketentuan hukum yang berlaku serta tatanannorma dalam masyarakat b,CPL-TIF-10,Hard,5,0.6995,0.7216,Aligned,"excellent verbal and written communication to explain technical concepts to non-technical stakeholders and produce clear documentation | good communication and documentation skills | - good communication and documentation skills. | strong communication skills, both written and verbal, to articulate technical concepts to non-technical stakeholders. | clear written and verbal communication, especially in documenting investigation steps and explaining technical findings to non technical stakeholders.",0.7216 | 0.7186 | 0.6917 | 0.6907 | 0.675,106 | 106 | 106 | 106 | 106
