source_type,source_id,source_text,profil_id,profil_text,semantic_similarity,shared_domains,shared_domains_count,overlap_ratio,source_primary_domain,profil_primary_domain,primary_domain_match,source_domain_count,profil_domain_count,avg_domain_similarity,max_domain_similarity,source_top_domains,profil_top_domains,alignment_label,alignment_label_encoded,alignment_category_detailed
visi,0,"menjadi program studi informatika unggulan dan pusat pengembangan ilmu pengetahuan teknologi berwawasan global di bidang informatika yang dapat menghasilkan tenaga profesional unggul dengan keahlian dalam informatika media, informatika data, informatika bergerak dan jaringan komputer.",PL1,Sarjana Teknik Informatika yang memiliki jiwa dan semangat serta budaya kewirausahaan dengan memanfaatkan perkembangan teknologi informasi (UNSUR: SIKAP) ,0.76638114,"['Cluster 4', 'Cluster 2', 'Cluster 1', 'Cluster 0', 'Cluster 3']",5,0.8333333333333334,Cluster 4,Cluster 1,0,5,6,0.8259345,1.0000002,"['Cluster 4', 'Cluster 1', 'Cluster 2', 'Cluster 3', 'Cluster 0']","['Cluster 1', 'Cluster 3', 'Cluster 4', 'Cluster 0', 'Cluster 2', 'Cluster 5']",Aligned,1,Aligned
visi,0,"menjadi program studi informatika unggulan dan pusat pengembangan ilmu pengetahuan teknologi berwawasan global di bidang informatika yang dapat menghasilkan tenaga profesional unggul dengan keahlian dalam informatika media, informatika data, informatika bergerak dan jaringan komputer.",PL2,Lulusan yang mengikuti dan memanfaatkan perkembangan teknologi informasi untuk memberikan solusi maupun mengembangkan bisnis (UNSUR: PENGETAHUAN) ,0.77827674,"['Cluster 4', 'Cluster 2', 'Cluster 1', 'Cluster 0', 'Cluster 3']",5,1.0,Cluster 4,Cluster 4,1,5,5,0.8430386,1.0000002,"['Cluster 4', 'Cluster 1', 'Cluster 2', 'Cluster 3', 'Cluster 0']","['Cluster 4', 'Cluster 1', 'Cluster 3', 'Cluster 2', 'Cluster 0']",Aligned,1,Aligned
visi,0,"menjadi program studi informatika unggulan dan pusat pengembangan ilmu pengetahuan teknologi berwawasan global di bidang informatika yang dapat menghasilkan tenaga profesional unggul dengan keahlian dalam informatika media, informatika data, informatika bergerak dan jaringan komputer.",PL3,Profesional unggul yang memiliki etika profesi yang baik dan memiliki kemauan untuk terus mengembangkan diri (UNSUR: SIKAP) ,0.4685984,"['Cluster 1', 'Cluster 3', 'Cluster 0', 'Cluster 4']",4,0.8,Cluster 4,Cluster 4,1,5,4,0.8412954,1.0000002,"['Cluster 4', 'Cluster 1', 'Cluster 2', 'Cluster 3', 'Cluster 0']","['Cluster 4', 'Cluster 1', 'Cluster 3', 'Cluster 0']",Not Aligned,0,Not Aligned
visi,0,"menjadi program studi informatika unggulan dan pusat pengembangan ilmu pengetahuan teknologi berwawasan global di bidang informatika yang dapat menghasilkan tenaga profesional unggul dengan keahlian dalam informatika media, informatika data, informatika bergerak dan jaringan komputer.",PL4,Lulusan yang ahli di bidang bisnis dan teknologi informasi (UNSUR: KETERAMPILAN KHUSUS / HARD SKILL) ,0.49104726,"['Cluster 4', 'Cluster 2', 'Cluster 1', 'Cluster 0', 'Cluster 3']",5,1.0,Cluster 4,Cluster 0,0,5,5,0.8430386,1.0000002,"['Cluster 4', 'Cluster 1', 'Cluster 2', 'Cluster 3', 'Cluster 0']","['Cluster 0', 'Cluster 1', 'Cluster 4', 'Cluster 3', 'Cluster 2']",Not Aligned,0,Not Aligned
visi,0,"menjadi program studi informatika unggulan dan pusat pengembangan ilmu pengetahuan teknologi berwawasan global di bidang informatika yang dapat menghasilkan tenaga profesional unggul dengan keahlian dalam informatika media, informatika data, informatika bergerak dan jaringan komputer.",PL5,Lulusan yang memiliki kompetensi berstandar nasional dan internasional (UNSUR: KETERAMPILAN UMUM),0.34958047,"['Cluster 1', 'Cluster 0', 'Cluster 4', 'Cluster 3']",4,0.8,Cluster 4,Cluster 0,0,5,4,0.8412954,1.0000002,"['Cluster 4', 'Cluster 1', 'Cluster 2', 'Cluster 3', 'Cluster 0']","['Cluster 0', 'Cluster 1', 'Cluster 4', 'Cluster 3']",Not Aligned,0,Not Aligned
misi,1,"1. menghasilkan lulusan dengan kompetensi yang tinggi dalam desain dan aplikasi teknologi informatika media, informatika data, informatika bergerak dan jaringan komputer. 2. menerapkan sistem pendidikan tinggi berstandar internasional. 3. memfasilitasi kegiatan penelitian dan pengembangan melalui kerjasama nasional dan internasional. 4. menyelengarakan riset ungulan melalui kerjasama lembaga riset dalam negeri maupun luar negeri. 5. memberikan pengetahuan, keterampilan dan kewirausahaan melalui pendidikan kreatif dan inovatif. 6. menghasilkan lulusan dengan kepribadian yang baik, berintegritas tinggi, memiliki kualitas jiwa kepemimpinan, kerjasama tim melalui experiential learning dengan semangat nasionalisme. 7. menyelenggarakan pendidikan informatika secara profesional melalui sistem pendidikan tinggi yang terencana dan terintegrasi, terangkum dalam kurikulum yang unik dan selalu mengikuti perkembangan zaman. 8. menyelenggarakan program pendidikan tinggi di bidang informatika yang ikut mencerdaskan bangsa, memelihara kesatuan dan persatuan, dan menjamin kebebasan akademik yang bertanggung jawab berlandaskan integritas keilmuan dan kepakaran. 9. menghasilkan lulusan yang mandiri, berbudi luhur, dan mampu menerapkan etika profesi baik di lingkup nasional maupun internasional. 10. melaksanakan penelitian dan pengembangan inovasi teknologi tepat guna dalam bidang informatika.",PL1,Sarjana Teknik Informatika yang memiliki jiwa dan semangat serta budaya kewirausahaan dengan memanfaatkan perkembangan teknologi informasi (UNSUR: SIKAP) ,0.71022105,"['Cluster 4', 'Cluster 2', 'Cluster 1', 'Cluster 0', 'Cluster 3']",5,0.8333333333333334,Cluster 4,Cluster 1,0,5,6,0.82593447,1.0000002,"['Cluster 4', 'Cluster 1', 'Cluster 3', 'Cluster 0', 'Cluster 2']","['Cluster 1', 'Cluster 3', 'Cluster 4', 'Cluster 0', 'Cluster 2', 'Cluster 5']",Aligned,1,Aligned
misi,1,"1. menghasilkan lulusan dengan kompetensi yang tinggi dalam desain dan aplikasi teknologi informatika media, informatika data, informatika bergerak dan jaringan komputer. 2. menerapkan sistem pendidikan tinggi berstandar internasional. 3. memfasilitasi kegiatan penelitian dan pengembangan melalui kerjasama nasional dan internasional. 4. menyelengarakan riset ungulan melalui kerjasama lembaga riset dalam negeri maupun luar negeri. 5. memberikan pengetahuan, keterampilan dan kewirausahaan melalui pendidikan kreatif dan inovatif. 6. menghasilkan lulusan dengan kepribadian yang baik, berintegritas tinggi, memiliki kualitas jiwa kepemimpinan, kerjasama tim melalui experiential learning dengan semangat nasionalisme. 7. menyelenggarakan pendidikan informatika secara profesional melalui sistem pendidikan tinggi yang terencana dan terintegrasi, terangkum dalam kurikulum yang unik dan selalu mengikuti perkembangan zaman. 8. menyelenggarakan program pendidikan tinggi di bidang informatika yang ikut mencerdaskan bangsa, memelihara kesatuan dan persatuan, dan menjamin kebebasan akademik yang bertanggung jawab berlandaskan integritas keilmuan dan kepakaran. 9. menghasilkan lulusan yang mandiri, berbudi luhur, dan mampu menerapkan etika profesi baik di lingkup nasional maupun internasional. 10. melaksanakan penelitian dan pengembangan inovasi teknologi tepat guna dalam bidang informatika.",PL2,Lulusan yang mengikuti dan memanfaatkan perkembangan teknologi informasi untuk memberikan solusi maupun mengembangkan bisnis (UNSUR: PENGETAHUAN) ,0.75749695,"['Cluster 4', 'Cluster 2', 'Cluster 1', 'Cluster 0', 'Cluster 3']",5,1.0,Cluster 4,Cluster 4,1,5,5,0.84303874,1.0000002,"['Cluster 4', 'Cluster 1', 'Cluster 3', 'Cluster 0', 'Cluster 2']","['Cluster 4', 'Cluster 1', 'Cluster 3', 'Cluster 2', 'Cluster 0']",Aligned,1,Aligned
misi,1,"1. menghasilkan lulusan dengan kompetensi yang tinggi dalam desain dan aplikasi teknologi informatika media, informatika data, informatika bergerak dan jaringan komputer. 2. menerapkan sistem pendidikan tinggi berstandar internasional. 3. memfasilitasi kegiatan penelitian dan pengembangan melalui kerjasama nasional dan internasional. 4. menyelengarakan riset ungulan melalui kerjasama lembaga riset dalam negeri maupun luar negeri. 5. memberikan pengetahuan, keterampilan dan kewirausahaan melalui pendidikan kreatif dan inovatif. 6. menghasilkan lulusan dengan kepribadian yang baik, berintegritas tinggi, memiliki kualitas jiwa kepemimpinan, kerjasama tim melalui experiential learning dengan semangat nasionalisme. 7. menyelenggarakan pendidikan informatika secara profesional melalui sistem pendidikan tinggi yang terencana dan terintegrasi, terangkum dalam kurikulum yang unik dan selalu mengikuti perkembangan zaman. 8. menyelenggarakan program pendidikan tinggi di bidang informatika yang ikut mencerdaskan bangsa, memelihara kesatuan dan persatuan, dan menjamin kebebasan akademik yang bertanggung jawab berlandaskan integritas keilmuan dan kepakaran. 9. menghasilkan lulusan yang mandiri, berbudi luhur, dan mampu menerapkan etika profesi baik di lingkup nasional maupun internasional. 10. melaksanakan penelitian dan pengembangan inovasi teknologi tepat guna dalam bidang informatika.",PL3,Profesional unggul yang memiliki etika profesi yang baik dan memiliki kemauan untuk terus mengembangkan diri (UNSUR: SIKAP) ,0.5675448,"['Cluster 1', 'Cluster 3', 'Cluster 0', 'Cluster 4']",4,0.8,Cluster 4,Cluster 4,1,5,4,0.8412954,1.0000002,"['Cluster 4', 'Cluster 1', 'Cluster 3', 'Cluster 0', 'Cluster 2']","['Cluster 4', 'Cluster 1', 'Cluster 3', 'Cluster 0']",Not Aligned,0,Not Aligned
misi,1,"1. menghasilkan lulusan dengan kompetensi yang tinggi dalam desain dan aplikasi teknologi informatika media, informatika data, informatika bergerak dan jaringan komputer. 2. menerapkan sistem pendidikan tinggi berstandar internasional. 3. memfasilitasi kegiatan penelitian dan pengembangan melalui kerjasama nasional dan internasional. 4. menyelengarakan riset ungulan melalui kerjasama lembaga riset dalam negeri maupun luar negeri. 5. memberikan pengetahuan, keterampilan dan kewirausahaan melalui pendidikan kreatif dan inovatif. 6. menghasilkan lulusan dengan kepribadian yang baik, berintegritas tinggi, memiliki kualitas jiwa kepemimpinan, kerjasama tim melalui experiential learning dengan semangat nasionalisme. 7. menyelenggarakan pendidikan informatika secara profesional melalui sistem pendidikan tinggi yang terencana dan terintegrasi, terangkum dalam kurikulum yang unik dan selalu mengikuti perkembangan zaman. 8. menyelenggarakan program pendidikan tinggi di bidang informatika yang ikut mencerdaskan bangsa, memelihara kesatuan dan persatuan, dan menjamin kebebasan akademik yang bertanggung jawab berlandaskan integritas keilmuan dan kepakaran. 9. menghasilkan lulusan yang mandiri, berbudi luhur, dan mampu menerapkan etika profesi baik di lingkup nasional maupun internasional. 10. melaksanakan penelitian dan pengembangan inovasi teknologi tepat guna dalam bidang informatika.",PL4,Lulusan yang ahli di bidang bisnis dan teknologi informasi (UNSUR: KETERAMPILAN KHUSUS / HARD SKILL) ,0.547415,"['Cluster 4', 'Cluster 2', 'Cluster 1', 'Cluster 0', 'Cluster 3']",5,1.0,Cluster 4,Cluster 0,0,5,5,0.8430386,1.0000002,"['Cluster 4', 'Cluster 1', 'Cluster 3', 'Cluster 0', 'Cluster 2']","['Cluster 0', 'Cluster 1', 'Cluster 4', 'Cluster 3', 'Cluster 2']",Not Aligned,0,Not Aligned
misi,1,"1. menghasilkan lulusan dengan kompetensi yang tinggi dalam desain dan aplikasi teknologi informatika media, informatika data, informatika bergerak dan jaringan komputer. 2. menerapkan sistem pendidikan tinggi berstandar internasional. 3. memfasilitasi kegiatan penelitian dan pengembangan melalui kerjasama nasional dan internasional. 4. menyelengarakan riset ungulan melalui kerjasama lembaga riset dalam negeri maupun luar negeri. 5. memberikan pengetahuan, keterampilan dan kewirausahaan melalui pendidikan kreatif dan inovatif. 6. menghasilkan lulusan dengan kepribadian yang baik, berintegritas tinggi, memiliki kualitas jiwa kepemimpinan, kerjasama tim melalui experiential learning dengan semangat nasionalisme. 7. menyelenggarakan pendidikan informatika secara profesional melalui sistem pendidikan tinggi yang terencana dan terintegrasi, terangkum dalam kurikulum yang unik dan selalu mengikuti perkembangan zaman. 8. menyelenggarakan program pendidikan tinggi di bidang informatika yang ikut mencerdaskan bangsa, memelihara kesatuan dan persatuan, dan menjamin kebebasan akademik yang bertanggung jawab berlandaskan integritas keilmuan dan kepakaran. 9. menghasilkan lulusan yang mandiri, berbudi luhur, dan mampu menerapkan etika profesi baik di lingkup nasional maupun internasional. 10. melaksanakan penelitian dan pengembangan inovasi teknologi tepat guna dalam bidang informatika.",PL5,Lulusan yang memiliki kompetensi berstandar nasional dan internasional (UNSUR: KETERAMPILAN UMUM),0.5260019,"['Cluster 1', 'Cluster 0', 'Cluster 4', 'Cluster 3']",4,0.8,Cluster 4,Cluster 0,0,5,4,0.8412954,1.0000002,"['Cluster 4', 'Cluster 1', 'Cluster 3', 'Cluster 0', 'Cluster 2']","['Cluster 0', 'Cluster 1', 'Cluster 4', 'Cluster 3']",Not Aligned,0,Not Aligned
