course_name,course_skill_category,alignment_label,top_k_average_similarity,best_similarity,best_match_overall_industry_competency,best_match_overall_similarity,matched_industry_competencies_count,top_k_matched_industry_competencies,top_k_matched_similarities,matched_domain_ids
Algoritma & Pemrograman,Hard,Aligned,0.68,0.6947,memahami konsep dasar pemrograman understand basic programming concepts,0.6947,5,"memahami konsep dasar pemrograman understand basic programming concepts | kelancaran dalam mengembangkan dan memahami diagram urutan, model kelas, dll. fluency in developing and understanding sequence diagrams, class models, etc. | pemahaman dasar logika pemrograman untuk berkolaborasi dengan tim teknik basic understanding of programming logic to collaborate with engineering teams | pemahaman yang baik tentang konsep pemrograman dasar seperti pola desain, struktur data, dan algoritma good understanding of fundamental programming concepts such as design patterns, data structures, and algorithms | mampu memahami logika desain proses dan menunjukkan pemikiran inovatif able to understand process design logic and demonstrate innovative thinking",0.6947 | 0.6826 | 0.678 | 0.6741 | 0.6704,106 | 58 | 106 | 107 | 80
Pemrograman Visual,Hard,Aligned,0.6841,0.7311,kursus pemrograman komputer computer programming courses,0.7311,5,kursus pemrograman komputer computer programming courses | pemahaman dasar konsep pemrograman (pelatihan diberikan) basic understanding of programming concepts (training provided) | memahami konsep dasar pemrograman understand basic programming concepts | memahami program desain visual understand visual design programs | menulis kode untuk mengimplementasikan elemen visual tersebut ke dalam berbagai aplikasi web write code to implement those visual elements into various web applications,0.7311 | 0.7139 | 0.7066 | 0.6527 | 0.616,106 | 106 | 106 | 58 | 98
Kalkulus 1,Hard,Not Aligned,0.5696,0.5926,"kelancaran dalam mengembangkan dan memahami diagram urutan, model kelas, dll. fluency in developing and understanding sequence diagrams, class models, etc.",0.5926,5,"kelancaran dalam mengembangkan dan memahami diagram urutan, model kelas, dll. fluency in developing and understanding sequence diagrams, class models, etc. | memahami dasar understand the basics | deskripsi fungsi function descriptions | memahami konsep dasar pemrograman understand basic programming concepts | pemahaman dasar konsep pemrograman (pelatihan diberikan) basic understanding of programming concepts (training provided)",0.5926 | 0.5727 | 0.5659 | 0.5621 | 0.5547,58 | 58 | 109 | 106 | 106
Aljabar Linear,Hard,Not Aligned,0.5383,0.5777,"kelancaran dalam mengembangkan dan memahami diagram urutan, model kelas, dll. fluency in developing and understanding sequence diagrams, class models, etc.",0.5777,5,"kelancaran dalam mengembangkan dan memahami diagram urutan, model kelas, dll. fluency in developing and understanding sequence diagrams, class models, etc. | latar belakang matematika atau bidang serupa a background in mathematics or similar field | memahami konsep dasar pemrograman understand basic programming concepts | memiliki pengetahuan dasar paradigma pemrograman (pemrograman terstruktur/berorientasi objek) having basic knowledge of programming paradigm (structured / object oriented programming) | pemahaman dasar konsep pemrograman (pelatihan diberikan) basic understanding of programming concepts (training provided)",0.5777 | 0.5441 | 0.5321 | 0.5204 | 0.5171,58 | 54 | 106 | 191 | 106
Metodologi Penelitian dan Ilmiah,Hard,Aligned,0.6362,0.6605,melakukan penelitian untuk membantu mengembangkan ide. carry out research to help develop ideas.,0.6605,5,"melakukan penelitian untuk membantu mengembangkan ide. carry out research to help develop ideas. | berkontribusi pada penelitian dan pengembangan ide proyek dengan melakukan studi pendahuluan, tinjauan literatur, dan analisis. contribute to the research and development of project ideas by conducting preliminary studies, literature reviews, and analysis. | kemampuan untuk menerapkan pemikiran terstruktur dan metode ilmiah pada masalah. ability to apply structured thinking and scientific methods to problems. | merancang panduan diskusi untuk memastikan panduan tersebut menghasilkan temuan yang bermakna dan dapat ditindaklanjuti design discussion guides to ensure they prompt meaningful findings and are actionable | akrab dengan pengujian kegunaan, heuristik, dan menafsirkan wawasan penelitian. familiar with usability testing, heuristics, and interpreting research insights.",0.6605 | 0.6433 | 0.6291 | 0.6272 | 0.6209,166 | 180 | 146 | 72 | 140
Statistika,Hard,Not Aligned,0.5657,0.5711,kursus pemrograman komputer computer programming courses,0.5711,5,"kursus pemrograman komputer computer programming courses | pemahaman dasar konsep pemrograman (pelatihan diberikan) basic understanding of programming concepts (training provided) | kelancaran dalam mengembangkan dan memahami diagram urutan, model kelas, dll. fluency in developing and understanding sequence diagrams, class models, etc. | memahami konsep dasar pemrograman understand basic programming concepts | pemahaman tentang kebutuhan dan karakteristik akademik, sosial dan perilaku siswa tingkat tinggi. understanding of academic, social and behavioral needs and characteristics of high level student.",0.5711 | 0.5675 | 0.5664 | 0.5651 | 0.5584,106 | 106 | 58 | 106 | 106
Sistem Basis Data,Hard,Aligned,0.6262,0.6351,"pemahaman komprehensif tentang sistem dan arsitektur datanya, termasuk kerangka pengembangan, proses, sistem dan struktur data comprehensive understanding of it systems and data architecture, including development frameworks, processes, system and data structures",0.6351,5,"pemahaman komprehensif tentang sistem dan arsitektur datanya, termasuk kerangka pengembangan, proses, sistem dan struktur data comprehensive understanding of it systems and data architecture, including development frameworks, processes, system and data structures | merancang skema database dan model data yang mendukung fitur aplikasi. designing database schemas and data models that support application features. | pengalaman pengembangan dan implementasi basis data. database development and implementation experience. | desain dan kueri basis data (erd) database design and query (erd) | pemahaman konsep dasar database (query sql sederhana). understanding of basic database concepts (simple sql queries).",0.6351 | 0.6271 | 0.6263 | 0.6219 | 0.6206,112 | 110 | 112 | 107 | 110
LAN and Wireless,Hard,Aligned,0.6741,0.6951,"memahami konsep jaringan komputer (tcp/ip, routing, switching, vlan, firewall). understand computer network concepts (tcp/ip, routing, switching, vlan, firewall).",0.6951,5,"memahami konsep jaringan komputer (tcp/ip, routing, switching, vlan, firewall). understand computer network concepts (tcp/ip, routing, switching, vlan, firewall). | memahami teknik jaringan (tcp/ip, routing & switch, jaringan nirkabel, jaringan bridging, keamanan, f5, fortigate, aruba) understand network engineering (tcp/ip, routing & switch, wireless network, bridging network, security, f5, fortigate, aruba) | memahami dasar jaringan komputer (lan, wan, tcp/ip, router, switch). understand the basics of computer networks (lan, wan, tcp/ip, router, switch). | pemahaman dasar tentang konsep jaringan (pengalamatan ip, dns, konektivitas). basic understanding of networking concepts (ip addressing, dns, connectivity). | pemahaman dasar tentang konektivitas jaringan dan dukungannya (tingkat non-rekayasa). basic understanding of network connectivity and it support (non-engineering level).",0.6951 | 0.6911 | 0.6715 | 0.657 | 0.6559,14 | 191 | 14 | 102 | 191
Pemrograman Berorientasi Objek,Hard,Aligned,0.6654,0.6781,memahami konsep dasar pemrograman understand basic programming concepts,0.6781,5,"memahami konsep dasar pemrograman understand basic programming concepts | pemahaman yang kuat tentang prinsip dan pola desain pemrograman berorientasi objek (oop). solid grasp of object-oriented programming (oop) principles and design patterns | memiliki pengetahuan dasar paradigma pemrograman (pemrograman terstruktur/berorientasi objek) having basic knowledge of programming paradigm (structured / object oriented programming) | pemahaman dasar konsep pemrograman (pelatihan diberikan) basic understanding of programming concepts (training provided) | pemahaman yang kuat tentang pemrograman berorientasi objek, konkurensi, dan dasar-dasar ilmu komputer. strong understanding of object-oriented programming, concurrency, and computer science fundamentals.",0.6781 | 0.6738 | 0.6738 | 0.6654 | 0.6357,106 | 105 | 191 | 106 | 105
Kalkulus 2,Hard,Not Aligned,0.5581,0.6151,"membuat dan menyebarkan kursus online, termasuk pengunggahan konten, pembuatan modul kursus, dan penyediaan alat penilaian (kuis, ujian, tugas). create and deploy online courses, including content uploads, course module creation, and providing assessment tools (quizzes, exams, assignments).",0.6151,5,"membuat dan menyebarkan kursus online, termasuk pengunggahan konten, pembuatan modul kursus, dan penyediaan alat penilaian (kuis, ujian, tugas). create and deploy online courses, including content uploads, course module creation, and providing assessment tools (quizzes, exams, assignments). | kelancaran dalam mengembangkan dan memahami diagram urutan, model kelas, dll. fluency in developing and understanding sequence diagrams, class models, etc. | kursus pemrograman komputer computer programming courses | melakukan proses penjadwalan yang efektif untuk kelas online, ujian mata kuliah dan ujian tesis pada tahun akademik terkait conduct effective scheduling process for online class, course examination and thesis defense in related academic year | dapat memahami instruksi dengan mudah able to understand instructions easily",0.6151 | 0.577 | 0.5512 | 0.528 | 0.5195,106 | 58 | 106 | 106 | 58
